schema_version,split_id,sample,selected_on_train,trade_dates,experiment_id,strategy_id,direction_filter,min_minutes_after_rth_open,max_minutes_after_rth_open,max_risk_to_average_bar_range,max_runner_target_to_average_bar_range,min_signal_abs_delta_sum_to_average_abs_delta,max_signal_abs_delta_sum_to_average_abs_delta,min_entry_volume_to_average_volume,min_entry_trades_to_average_trades,min_continuation_edge_score,min_opening_range_continuation_edge_score,min_directional_opening_range_breakout_points,min_lookback_efficiency_ratio,max_lookback_choppiness_score,min_entry_volume_to_session_average_volume,min_lookback_volume_to_session_average_volume,input_context_rows,evaluated_trades,runner_target_hits,full_stops,runner_stop_exits,other_exits,positive_net_trades,positive_net_rate,net_usd,average_net_usd,average_net_usd_lower_bound,unfiltered_net_usd,participation_rate,filter_net_improvement_usd,long_trades,short_trades,notes
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,train,true,2026-03-23;2026-03-25;2026-03-27;2026-04-02;2026-04-07;2026-04-23;2026-04-24;2026-05-01,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=5-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,all,0,390,8,8,5,20,0,0,0,0,-999999,0,1,0,0,16,12,5,5,2,0,5,0.41666667,-2934,-244.5,-462.05626667,-5512,0.75,2578,8,4,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,holdout,true,2026-05-04;2026-05-05,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=5-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,all,0,390,8,8,5,20,0,0,0,0,-999999,0,1,0,0,2,2,0,1,1,0,0,0,-1364,-682,-947.16504294,-1364,1,0,1,1,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=3:train_dates=8:holdout_dates=2,train,true,2026-03-27;2026-04-02;2026-04-07;2026-04-23;2026-04-24;2026-05-01;2026-05-04;2026-05-05,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=0-50:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,all,0,390,8,8,0,50,0,0,0,0,-999999,0,1,0,0,12,12,3,6,3,0,3,0.25,-5484,-457,-653.05483927,-5484,1,0,7,5,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=3:train_dates=8:holdout_dates=2,holdout,true,2026-05-13;2026-05-14,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=0-50:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,all,0,390,8,8,0,50,0,0,0,0,-999999,0,1,0,0,7,7,7,0,0,0,7,1,4151,593,593,4151,1,0,7,0,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=5:train_dates=8:holdout_dates=2,train,true,2026-04-07;2026-04-23;2026-04-24;2026-05-01;2026-05-04;2026-05-05;2026-05-13;2026-05-14,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=60-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,all,60,390,8,8,0,20,0,0,0,0,-999999,0,1,0,0,17,14,8,3,3,0,8,0.57142857,652,46.57142857,-134.37451877,-2519,0.82352941,3171,10,4,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=5:train_dates=8:holdout_dates=2,holdout,true,2026-05-15;2026-05-18,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=60-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,all,60,390,8,8,0,20,0,0,0,0,-999999,0,1,0,0,5,1,0,1,0,0,0,0,-1057,-1057,-1057,-3635,0.2,2578,1,0,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=7:train_dates=8:holdout_dates=2,train,true,2026-04-24;2026-05-01;2026-05-04;2026-05-05;2026-05-13;2026-05-14;2026-05-15;2026-05-18,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=60-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0.6:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,all,60,390,8,8,0,20,0,0,0.6,0,-999999,0,1,0,0,19,12,7,4,1,0,7,0.58333333,-384,-32,-252.67604461,-5383,0.63157895,4999,10,2,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=7:train_dates=8:holdout_dates=2,holdout,true,2026-05-20;2026-05-21,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=60-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0.6:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,all,60,390,8,8,0,20,0,0,0.6,0,-999999,0,1,0,0,9,6,4,2,0,0,4,0.66666667,258,43,-274.54264805,-738,0.66666667,996,6,0,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=9:train_dates=8:holdout_dates=2,train,true,2026-05-04;2026-05-05;2026-05-13;2026-05-14;2026-05-15;2026-05-18;2026-05-20;2026-05-21,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=long:minutes=60-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=0-50:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=0:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,long,60,390,8,8,0,50,0,0,0,0,0,0,1,0,0,23,14,12,2,0,0,12,0.85714286,5002,357.28571429,202.9744919,-1586,0.60869565,6588,14,0,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=9:train_dates=8:holdout_dates=2,holdout,true,2026-05-22;2026-05-26,scaled_context_filter:strategy=none:direction=long:minutes=60-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=0-50:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=0:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,none,long,60,390,8,8,0,50,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,879,0,-879,0,0,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
